iter	Passed	Remaining
0	3	3862
1	5	2731
2	8	2792
3	10	2702
4	13	2724
5	16	2732
6	18	2676
7	21	2639
8	23	2616
9	25	2540
10	28	2560
11	30	2525
12	33	2521
13	35	2498
14	37	2475
15	40	2503
16	43	2498
17	45	2499
18	47	2460
19	49	2433
20	51	2406
21	53	2377
22	55	2375
23	58	2363
24	60	2352
25	62	2336
26	64	2317
27	66	2298
28	68	2281
29	70	2266
30	71	2249
31	73	2233
32	75	2220
33	77	2207
34	79	2200
35	81	2187
36	83	2185
37	85	2172
38	87	2165
39	89	2155
40	91	2145
41	93	2135
42	95	2128
43	97	2118
44	99	2108
45	101	2098
46	103	2088
47	105	2084
48	106	2075
49	108	2067
50	110	2061
51	112	2058
52	114	2048
53	116	2043
54	118	2036
55	120	2030
56	122	2022
57	124	2016
58	126	2010
59	127	2003
60	129	1999
61	131	1995
62	133	1989
63	135	1983
64	137	1977
65	139	1973
66	141	1967
67	143	1963
68	145	1959
69	146	1948
70	148	1942
71	150	1937
72	152	1933
73	154	1928
74	154	1909
75	156	1904
76	158	1901
77	160	1897
78	162	1892
79	164	1889
80	166	1885
81	167	1880
82	169	1876
83	171	1871
84	173	1867
85	175	1864
86	177	1860
87	179	1858
88	181	1853
89	182	1849
90	185	1848
91	186	1844
92	188	1842
93	190	1839
94	192	1837
95	194	1834
96	196	1830
97	198	1829
98	200	1825
99	202	1822
100	204	1819
101	206	1817
102	208	1813
103	210	1810
104	212	1808
105	214	1806
106	216	1803
107	218	1802
108	220	1800
109	222	1797
110	224	1795
111	226	1791
112	227	1788
113	229	1785
114	231	1782
115	233	1778
116	235	1775
117	237	1771
118	239	1770
119	241	1767
120	242	1764
121	244	1760
122	246	1757
123	248	1755
124	250	1753
125	252	1751
126	254	1750
127	256	1747
128	258	1745
129	260	1742
130	262	1739
131	264	1736
132	266	1734
133	268	1732
134	270	1730
135	272	1728
136	273	1725
137	275	1722
138	277	1720
139	279	1718
140	281	1715
141	283	1712
142	285	1710
143	287	1707
144	289	1704
145	291	1702
146	292	1699
147	294	1696
148	296	1694
149	298	1692
150	300	1691
151	302	1688
152	304	1685
153	306	1683
154	308	1681
155	310	1680
156	312	1677
157	314	1675
158	316	1673
159	318	1672
160	320	1670
161	322	1667
162	324	1664
163	325	1661
164	327	1659
165	329	1656
166	331	1654
167	333	1651
168	335	1649
169	337	1647
170	339	1644
171	340	1641
172	342	1638
173	344	1635
174	346	1632
175	348	1633
176	351	1633
177	353	1633
178	356	1632
179	358	1633
180	360	1632
181	362	1630
182	364	1628
183	366	1626
184	368	1623
185	370	1622
186	372	1620
187	374	1617
188	376	1615
189	378	1612
190	380	1610
191	382	1607
192	383	1604
193	385	1602
194	387	1600
195	390	1600
196	392	1601
197	395	1601
198	399	1607
199	403	1613
200	406	1614
201	408	1615
202	411	1615
203	414	1616
204	417	1617
205	419	1618
206	422	1617
207	424	1616
208	426	1614
209	428	1613
210	431	1612
211	434	1614
212	437	1615
213	439	1615
214	444	1622
215	447	1622
216	449	1620
217	451	1619
218	453	1617
219	455	1614
220	457	1612
221	459	1609
222	462	1610
223	464	1608
224	467	1609
225	469	1607
226	471	1604
227	472	1601
228	475	1599
229	477	1597
230	479	1596
231	482	1596
232	484	1593
233	486	1591
234	488	1589
235	490	1586
236	491	1583
237	493	1581
238	495	1578
239	498	1577
240	500	1576
241	502	1574
242	504	1571
243	506	1568
244	508	1566
245	510	1565
246	512	1563
247	515	1563
248	517	1560
249	519	1558
250	521	1556
251	523	1553
252	525	1551
253	527	1548
254	529	1546
255	531	1546
256	533	1543
257	535	1540
258	537	1538
259	539	1536
260	542	1535
261	544	1533
262	546	1532
263	548	1530
264	550	1527
265	552	1525
266	554	1523
267	556	1520
268	558	1518
269	561	1516
270	563	1515
271	565	1513
272	567	1511
273	569	1508
274	571	1506
275	573	1504
276	575	1503
277	578	1502
278	581	1501
279	583	1500
280	585	1497
281	587	1495
282	589	1493
283	591	1490
284	593	1488
285	595	1487
286	597	1485
287	599	1482
288	601	1480
289	603	1478
290	605	1475
291	607	1472
292	609	1470
293	612	1469
294	614	1467
295	616	1465
296	618	1463
297	620	1460
298	621	1458
299	624	1456
300	626	1455
301	628	1453
302	630	1450
303	632	1448
304	634	1446
305	637	1445
306	639	1442
307	641	1440
308	643	1439
309	646	1438
310	648	1435
311	649	1433
312	651	1430
313	653	1428
314	655	1426
315	658	1424
316	660	1422
317	662	1420
318	664	1418
319	666	1416
320	668	1414
321	670	1411
322	672	1409
323	674	1406
324	676	1405
325	679	1404
326	681	1402
327	683	1399
328	685	1397
329	686	1394
330	688	1392
331	690	1389
332	692	1387
333	694	1384
334	696	1382
335	698	1380
336	700	1377
337	702	1375
338	703	1372
339	705	1370
340	707	1367
341	709	1365
342	711	1362
343	713	1360
344	715	1358
345	717	1356
346	719	1353
347	721	1351
348	723	1348
349	725	1346
350	726	1343
351	728	1341
352	730	1339
353	732	1336
354	734	1334
355	736	1331
356	738	1329
357	739	1326
358	741	1324
359	743	1321
360	745	1319
361	747	1317
362	749	1315
363	751	1312
364	753	1310
365	754	1307
366	756	1305
367	758	1303
368	760	1300
369	762	1298
370	764	1296
371	766	1293
372	768	1291
373	770	1289
374	771	1286
375	773	1284
376	775	1281
377	777	1279
378	779	1276
379	781	1274
380	782	1271
381	784	1269
382	786	1267
383	788	1265
384	790	1262
385	792	1260
386	794	1258
387	796	1256
388	798	1253
389	800	1251
390	801	1249
391	803	1246
392	805	1244
393	807	1242
394	809	1239
395	811	1237
396	813	1235
397	815	1232
398	817	1230
399	818	1228
400	820	1226
401	822	1223
402	824	1221
403	826	1219
404	828	1217
405	830	1215
406	832	1212
407	834	1210
408	836	1208
409	838	1206
410	839	1203
411	841	1201
412	843	1199
413	845	1197
414	847	1194
415	849	1192
416	851	1190
417	853	1188
418	855	1185
419	857	1183
420	858	1181
421	860	1179
422	862	1176
423	864	1174
424	866	1172
425	868	1170
426	870	1168
427	872	1165
428	874	1163
429	876	1161
430	877	1159
431	879	1156
432	881	1154
433	883	1152
434	885	1150
435	887	1148
436	889	1145
437	891	1143
438	893	1141
439	895	1139
440	897	1137
441	899	1135
442	901	1133
443	903	1131
444	905	1129
445	907	1127
446	909	1125
447	911	1123
448	913	1120
449	915	1118
450	917	1116
451	920	1115
452	922	1113
453	924	1111
454	926	1109
455	928	1107
456	930	1105
457	932	1103
458	934	1101
459	936	1098
460	938	1096
461	939	1094
462	941	1092
463	943	1090
464	945	1088
465	947	1085
466	949	1083
467	951	1081
468	953	1079
469	954	1076
470	956	1074
471	958	1072
472	960	1070
473	962	1068
474	964	1065
475	966	1063
476	968	1061
477	970	1059
478	971	1057
479	973	1054
480	975	1052
481	977	1050
482	979	1048
483	981	1046
484	983	1044
485	985	1042
486	987	1039
487	989	1037
488	991	1035
489	993	1033
490	994	1031
491	996	1029
492	998	1027
493	1000	1025
494	1002	1023
495	1004	1020
496	1006	1018
497	1008	1016
498	1010	1014
499	1012	1012
500	1014	1010
501	1016	1008
502	1018	1006
503	1020	1004
504	1022	1002
505	1024	1000
506	1026	998
507	1028	996
508	1030	993
509	1032	991
510	1033	989
511	1036	987
512	1038	985
513	1040	983
514	1042	981
515	1044	979
516	1045	977
517	1048	975
518	1050	973
519	1052	971
520	1054	969
521	1056	967
522	1058	965
523	1060	963
524	1062	961
525	1064	959
526	1066	957
527	1068	955
528	1070	953
529	1072	951
530	1074	949
531	1076	947
532	1078	945
533	1080	942
534	1082	940
535	1084	938
536	1086	936
537	1088	934
538	1090	932
539	1092	930
540	1094	928
541	1096	926
542	1098	924
543	1100	922
544	1101	919
545	1103	917
546	1105	915
547	1107	913
548	1109	911
549	1111	909
550	1113	907
551	1115	905
552	1117	903
553	1119	901
554	1121	899
555	1123	897
556	1125	895
557	1127	892
558	1129	891
559	1131	889
560	1133	887
561	1135	884
562	1137	882
563	1139	880
564	1141	878
565	1143	876
566	1145	874
567	1147	872
568	1148	870
569	1150	868
570	1153	866
571	1155	864
572	1157	862
573	1159	860
574	1161	858
575	1163	856
576	1165	854
577	1167	852
578	1169	850
579	1171	848
580	1173	846
581	1175	843
582	1177	841
583	1178	839
584	1180	837
585	1182	835
586	1184	833
587	1186	831
588	1188	829
589	1190	827
590	1192	825
591	1201	827
592	1211	831
593	1217	832
594	1222	831
595	1231	834
596	1240	837
597	1251	841
598	1259	843
599	1265	843
600	1273	845
601	1281	847
602	1289	848
603	1305	856
604	1313	857
605	1325	861
606	1333	863
607	1337	862
608	1346	864
609	1350	863
610	1354	862
611	1358	861
612	1361	859
613	1363	857
614	1365	854
615	1367	852
616	1369	850
617	1371	847
618	1373	845
619	1375	842
620	1377	840
621	1379	838
622	1380	835
623	1382	833
624	1384	830
625	1386	828
626	1388	826
627	1390	823
628	1392	821
629	1395	819
630	1397	817
631	1399	814
632	1401	812
633	1403	809
634	1404	807
635	1406	805
636	1408	802
637	1410	800
638	1412	798
639	1414	795
640	1416	793
641	1418	791
642	1420	788
643	1422	786
644	1424	783
645	1426	781
646	1428	779
647	1430	776
648	1432	774
649	1434	772
650	1435	769
651	1437	767
652	1439	765
653	1441	762
654	1443	760
655	1445	758
656	1447	755
657	1449	753
658	1451	750
659	1452	748
660	1454	746
661	1456	743
662	1458	741
663	1460	738
664	1462	736
665	1464	734
666	1466	731
667	1468	729
668	1470	727
669	1472	725
670	1475	723
671	1477	721
672	1479	719
673	1481	716
